Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
7/8/2022,Marseille,Reims,4,1,H,2,0
7/8/2022,Rennes,Lorient,0,1,A,0,0
7/8/2022,Angers,Nantes,0,0,D,0,0
7/8/2022,Lens,Brest,3,2,H,1,0
7/8/2022,Lille,Auxerre,4,1,H,3,0
7/8/2022,Montpellier,Troyes,3,2,H,2,2
7/8/2022,Toulouse,Nice,1,1,D,1,0
7/8/2022,Clermont,Paris SG,0,5,A,0,3
7/8/2022,Strasbourg,Monaco,1,2,A,0,1
7/8/2022,Lyon,Ajaccio,2,1,H,2,1
14/08/2022,Brest,Marseille,1,1,D,0,1
14/08/2022,Nice,Strasbourg,1,1,D,1,0
14/08/2022,Ajaccio,Lens,0,0,D,0,0
14/08/2022,Auxerre,Angers,2,2,D,2,1
14/08/2022,Reims,Clermont,2,4,A,2,0
14/08/2022,Troyes,Toulouse,0,3,A,0,1
14/08/2022,Paris SG,Montpellier,5,2,H,2,0
14/08/2022,Monaco,Rennes,1,1,D,0,0
14/08/2022,Nantes,Lille,1,1,D,1,0
21/08/2022,Lille,Paris SG,1,7,A,0,4
21/08/2022,Rennes,Ajaccio,2,1,H,1,0
21/08/2022,Angers,Brest,1,3,A,0,2
21/08/2022,Clermont,Nice,1,0,H,1,0
21/08/2022,Montpellier,Auxerre,1,2,A,1,0
21/08/2022,Toulouse,Lorient,2,2,D,1,1
21/08/2022,Strasbourg,Reims,1,1,D,1,0
21/08/2022,Marseille,Nantes,2,1,H,0,0
21/08/2022,Monaco,Lens,1,4,A,1,2
21/08/2022,Lyon,Troyes,4,1,H,1,1
28/08/2022,Paris SG,Monaco,1,1,D,0,1
28/08/2022,Reims,Lyon,1,1,D,1,0
28/08/2022,Brest,Montpellier,0,7,A,0,5
28/08/2022,Lorient,Clermont,2,1,H,2,0
28/08/2022,Nice,Marseille,0,3,A,0,3
28/08/2022,Troyes,Angers,3,1,H,1,0
28/08/2022,Nantes,Toulouse,3,1,H,0,1
28/08/2022,Lens,Rennes,2,1,H,0,0
28/08/2022,Auxerre,Strasbourg,1,0,H,1,0
28/08/2022,Ajaccio,Lille,1,3,A,0,2
31/08/2022,Lens,Lorient,5,2,H,2,1
31/08/2022,Lille,Nice,1,2,A,1,2
31/08/2022,Marseille,Clermont,1,0,H,0,0
31/08/2022,Rennes,Brest,3,1,H,0,0
31/08/2022,Toulouse,Paris SG,0,3,A,0,1
31/08/2022,Angers,Reims,2,4,A,0,2
31/08/2022,Lyon,Auxerre,2,1,H,1,0
31/08/2022,Monaco,Troyes,2,4,A,1,2
31/08/2022,Montpellier,Ajaccio,2,0,H,1,0
31/08/2022,Strasbourg,Nantes,1,1,D,1,0
4/9/2022,Nice,Monaco,0,1,A,0,0
4/9/2022,Troyes,Rennes,1,1,D,1,0
4/9/2022,Ajaccio,Lorient,0,1,A,0,0
4/9/2022,Brest,Strasbourg,1,1,D,1,1
4/9/2022,Clermont,Toulouse,2,0,H,0,0
4/9/2022,Reims,Lens,1,1,D,0,0
4/9/2022,Montpellier,Lille,1,3,A,1,1
4/9/2022,Nantes,Paris SG,0,3,A,0,1
4/9/2022,Lyon,Angers,5,0,H,2,0
4/9/2022,Auxerre,Marseille,0,2,A,0,1
7/9/2022,Lorient,Lyon,3,1,H,2,1
11/9/2022,Monaco,Lyon,2,1,H,0,0
