Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
9/8/2019,Monaco,Lyon,0,3,A,0,2
10/8/2019,Marseille,Reims,0,2,A,0,0
10/8/2019,Montpellier,Rennes,0,1,A,0,1
10/8/2019,Dijon,St Etienne,1,2,A,1,2
10/8/2019,Brest,Toulouse,1,1,D,1,0
10/8/2019,Angers,Bordeaux,3,1,H,3,1
10/8/2019,Nice,Amiens,2,1,H,1,0
11/8/2019,Lille,Nantes,2,1,H,1,1
11/8/2019,Strasbourg,Metz,1,1,D,1,0
11/8/2019,Paris SG,Nimes,3,0,H,1,0
16/08/2019,Lyon,Angers,6,0,H,2,0
17/08/2019,Nantes,Marseille,0,0,D,0,0
17/08/2019,Amiens,Lille,1,0,H,0,0
17/08/2019,Nimes,Nice,1,2,A,1,2
17/08/2019,Toulouse,Dijon,1,0,H,0,0
17/08/2019,Metz,Monaco,3,0,H,1,0
17/08/2019,Bordeaux,Montpellier,1,1,D,0,1
18/08/2019,St Etienne,Brest,1,1,D,0,1
18/08/2019,Reims,Strasbourg,0,0,D,0,0
18/08/2019,Rennes,Paris SG,2,1,H,1,1
24/08/2019,Brest,Reims,1,0,H,0,0
24/08/2019,Angers,Metz,3,0,H,2,0
24/08/2019,Amiens,Nantes,1,2,A,0,0
24/08/2019,Dijon,Bordeaux,0,2,A,0,1
25/08/2019,Monaco,Nimes,2,2,D,2,0
25/08/2019,Strasbourg,Rennes,0,2,A,0,1
25/08/2019,Paris SG,Toulouse,4,0,H,0,0
27/08/2019,Montpellier,Lyon,1,0,H,1,0
28/08/2019,Lille,St Etienne,3,0,H,1,0
28/08/2019,Nice,Marseille,1,2,A,0,1
30/08/2019,Metz,Paris SG,0,2,A,0,2
31/08/2019,Lyon,Bordeaux,1,1,D,1,0
31/08/2019,Toulouse,Amiens,2,0,H,0,0
31/08/2019,Nimes,Brest,3,0,H,2,0
31/08/2019,Nantes,Montpellier,1,0,H,0,0
31/08/2019,Angers,Dijon,2,0,H,0,0
1/9/2019,Rennes,Nice,1,2,A,1,0
1/9/2019,Reims,Lille,2,0,H,0,0
1/9/2019,Strasbourg,Monaco,2,2,D,1,2
1/9/2019,Marseille,St Etienne,1,0,H,0,0
13/09/2019,Lille,Angers,2,1,H,1,0
13/09/2019,Amiens,Lyon,2,2,D,1,2
14/09/2019,Paris SG,Strasbourg,1,0,H,0,0
14/09/2019,Montpellier,Nice,2,1,H,1,1
14/09/2019,Dijon,Nimes,0,0,D,0,0
14/09/2019,Brest,Rennes,0,0,D,0,0
14/09/2019,Bordeaux,Metz,2,0,H,2,0
15/09/2019,Nantes,Reims,1,0,H,0,0
15/09/2019,St Etienne,Toulouse,2,2,D,1,2
15/09/2019,Monaco,Marseille,3,4,A,2,2
20/09/2019,Strasbourg,Nantes,2,1,H,0,1
21/09/2019,Marseille,Montpellier,1,1,D,0,1
21/09/2019,Reims,Monaco,0,0,D,0,0
21/09/2019,Nimes,Toulouse,1,0,H,1,0
21/09/2019,Nice,Dijon,2,1,H,1,1
21/09/2019,Metz,Amiens,1,2,A,0,1
22/09/2019,Bordeaux,Brest,2,2,D,1,2
22/09/2019,Rennes,Lille,1,1,D,0,0
22/09/2019,Angers,St Etienne,4,1,H,0,1
22/09/2019,Lyon,Paris SG,0,1,A,0,0
24/09/2019,Dijon,Marseille,0,0,D,0,0
24/09/2019,Monaco,Nice,3,1,H,1,0
